Points 17-21 17-21 22-26 22-26 27-31 27-31 32-36 32-36 37-41 37-41 42-46 42-46 47-51 47-51 52-56 52-56 57-61 57-61 Over62 Over62
Points M F M F M F M F M F M F M F M F M F M F Points
100 03:40 03:40 03:35 03:35 03:30 03:30 03:25 03:25 03:20 03:20 03:20 03:20 03:20 03:20 03:20 03:20 03:20 03:20 03:20 03:20 100
99 03:37 03:37 03:32 03:32 03:27 03:27 03:22 03:22 03:17 03:17 03:17 03:17 03:17 03:17 03:17 03:17 03:17 03:17 03:17 03:17 99
98 03:34 03:34 03:29 03:29 03:24 03:24 03:19 03:19 03:14 03:14 03:14 03:14 03:14 03:14 03:14 03:14 03:14 03:14 03:14 03:14 98
97 03:30 03:30 03:25 03:25 03:20 03:20 03:15 03:15 03:10 03:10 03:10 03:10 03:10 03:10 03:10 03:10 03:10 03:10 03:10 03:10 97
96 03:27 03:27 03:22 03:22 03:17 03:17 03:12 03:12 03:07 03:07 03:07 03:07 03:07 03:07 03:07 03:07 03:07 03:07 03:07 03:07 96
95 03:24 03:24 03:19 03:19 03:14 03:14 03:09 03:09 03:04 03:04 03:04 03:04 03:04 03:04 03:04 03:04 03:04 03:04 03:04 03:04 95
94 03:21 03:21 03:16 03:16 03:11 03:11 03:06 03:06 03:01 03:01 03:01 03:01 03:01 03:01 03:01 03:01 03:01 03:01 03:01 03:01 94
93 03:17 03:17 03:12 03:12 03:07 03:07 03:02 03:02 02:57 02:57 02:57 02:57 02:57 02:57 02:57 02:57 02:57 02:57 02:57 02:57 93
92 03:14 03:14 03:09 03:09 03:04 03:04 02:59 02:59 02:54 02:54 02:54 02:54 02:54 02:54 02:54 02:54 02:54 02:54 02:54 02:54 92
91 03:11 03:11 03:06 03:06 03:01 03:01 02:56 02:56 02:51 02:51 02:51 02:51 02:51 02:51 02:51 02:51 02:51 02:51 02:51 02:51 91
90 03:08 03:08 03:03 03:03 02:58 02:58 02:53 02:53 02:47 02:47 02:47 02:47 02:47 02:47 02:47 02:47 02:47 02:47 02:47 02:47 90
89 03:04 03:04 02:59 02:59 02:54 02:54 02:49 02:49 02:44 02:44 02:44 02:44 02:44 02:44 02:44 02:44 02:44 02:44 02:44 02:44 89
88 03:01 03:01 02:56 02:56 02:51 02:51 02:46 02:46 02:41 02:41 02:41 02:41 02:41 02:41 02:41 02:41 02:41 02:41 02:41 02:41 88
87 02:58 02:58 02:53 02:53 02:48 02:48 02:43 02:43 02:38 02:38 02:38 02:38 02:38 02:38 02:38 02:38 02:38 02:38 02:38 02:38 87
86 02:55 02:55 02:50 02:50 02:45 02:45 02:40 02:40 02:35 02:35 02:35 02:35 02:35 02:35 02:35 02:35 02:35 02:35 02:35 02:35 86
85 02:51 02:51 02:46 02:46 02:41 02:41 02:36 02:36 02:31 02:31 02:31 02:31 02:31 02:31 02:31 02:31 02:31 02:31 02:31 02:31 85
84 02:48 02:48 02:43 02:43 02:38 02:38 02:33 02:33 02:28 02:28 02:28 02:28 02:28 02:28 02:28 02:28 02:28 02:28 02:28 02:28 84
83 02:45 02:45 02:40 02:40 02:35 02:35 02:30 02:30 02:25 02:25 02:25 02:25 02:25 02:25 02:25 02:25 02:25 02:25 02:25 02:25 83
82 02:41 02:41 02:37 02:37 02:31 02:31 02:27 02:27 02:22 02:22 02:22 02:22 02:22 02:22 02:22 02:22 02:22 02:22 02:22 02:22 82
81 02:38 02:38 02:33 02:33 02:28 02:28 02:23 02:23 02:18 02:18 02:18 02:18 02:18 02:18 02:18 02:18 02:18 02:18 02:18 02:18 81
80 02:35 02:35 02:30 02:30 02:25 02:25 02:20 02:20 02:15 02:15 02:15 02:15 02:15 02:15 02:15 02:15 02:15 02:15 02:15 02:15 80
79 02:32 02:32 02:27 02:27 02:22 02:22 02:17 02:17 02:12 02:12 02:12 02:12 02:12 02:12 02:12 02:12 02:12 02:12 02:12 02:12 79
78 02:29 02:29 02:23 02:23 02:18 02:18 02:13 02:13 02:08 02:08 02:08 02:08 02:08 02:08 02:08 02:08 02:08 02:08 02:08 02:08 78
77 02:25 02:25 02:20 02:20 02:15 02:15 02:10 02:10 02:05 02:05 02:05 02:05 02:05 02:05 02:05 02:05 02:05 02:05 02:05 02:05 77
76 02:22 02:22 02:17 02:17 02:12 02:12 02:07 02:07 02:02 02:02 02:02 02:02 02:02 02:02 02:02 02:02 02:02 02:02 02:02 02:02 76
75 02:19 02:19 02:14 02:14 02:09 02:09 02:04 02:04 01:59 01:59 01:59 01:59 01:59 01:59 01:59 01:59 01:59 01:59 01:59 01:59 75
74 02:15 02:15 02:10 02:10 02:06 02:06 02:00 02:00 01:56 01:56 01:56 01:56 01:56 01:56 01:56 01:56 01:56 01:56 01:56 01:56 74
73 02:12 02:12 02:07 02:07 02:02 02:02 01:57 01:57 01:52 01:52 01:52 01:52 01:52 01:52 01:52 01:52 01:52 01:52 01:52 01:52 73
72 02:09 02:09 02:04 02:04 01:59 01:59 01:54 01:54 01:49 01:49 01:49 01:49 01:49 01:49 01:49 01:49 01:49 01:49 01:49 01:49 72
71 02:06 02:06 02:01 02:01 01:56 01:56 01:51 01:51 01:46 01:46 01:46 01:46 01:46 01:46 01:46 01:46 01:46 01:46 01:46 01:46 71
70 02:02 02:02 01:58 01:58 01:52 01:52 01:47 01:47 01:42 01:42 01:42 01:42 01:42 01:42 01:42 01:42 01:42 01:42 01:42 01:42 70
69 01:59 01:59 01:54 01:54 01:49 01:49 01:44 01:44 01:39 01:39 01:39 01:39 01:39 01:39 01:39 01:39 01:39 01:39 01:39 01:39 69
